Season,Matchday,Player,Wins,Losses,Ties,Pts,MPD,TMP,TCA,PCA,UfPE,OE,QPct,TPA,CAA,PCAA,UfPA,DE,NUfP,QPO,QPD,OPD,FW,FL,3PT,MCW,Rundle,Rundle Rank,League,Branch
65,25,Barclay,6,14,5,17,-25,61,54,1.12962962963,26,0,0.36,86,73,1.17808219178,24,0.747368421053,2,0.36,1.10736842105,0.747368421053,0,0,6,19,D Frontier Div 2,25,Frontier,Curtis
65,25,BardenJ,6,16,3,13,-32,47,35,1.34285714286,33,0,0.253623188406,79,58,1.36206896552,37,0.588888888889,-4,0.253623188406,0.842512077295,0.588888888889,2,2,3,22,R Central Div 1,20,Central,JohnsonP
65,25,BarelaE,13,6,6,32,15,180,127,1.41732283465,18,0,0.846666666667,165,115,1.4347826087,30,0.6,-12,0.846666666667,1.44666666667,0.6,0,0,19,2,A Horizon,7,Horizon,RyderM
65,25,BargarA,12,10,3,27,-20,64,50,1.28,35,0,0.333333333333,84,64,1.3125,22,0.676470588235,13,0.333333333333,1.00980392157,0.676470588235,2,0,6,18,R Maritime Div 2,11,Maritime,WolpertL
65,25,BargerG,12,10,3,27,2,161,116,1.38793103448,23,0,0.773333333333,159,116,1.37068965517,21,0.708333333333,2,0.773333333333,1.48166666667,0.708333333333,0,0,16,7,A Highland,10,Highland,KaleV
65,25,BarkaiY,2,17,6,8,-57,49,38,1.28947368421,29,0,0.275362318841,106,75,1.41333333333,44,0.564356435644,-15,0.275362318841,0.839718754484,0.564356435644,0,2,7,21,C Midland,27,Midland,BennettT
65,25,BarkannM,2,21,2,-10,-89,10,11,0.909090909091,5,0,0.203703703704,99,68,1.45588235294,46,0.530612244898,-41,0.203703703704,0.734315948602,0.530612244898,0,16,1,5,R Sequoia Div 2,26,Sequoia,SorensonG
65,25,BarkerC,12,5,8,32,22,181,126,1.43650793651,19,0,0.84,159,117,1.35897435897,20,0.72602739726,-1,0.84,1.56602739726,0.72602739726,0,0,19,5,A Frontier,3,Frontier,BarkerC
65,25,BarkerN,9,8,8,24,-2,87,65,1.33846153846,37,0,0.471014492754,89,69,1.28985507246,31,0.659340659341,6,0.471014492754,1.13035515209,0.659340659341,1,2,7,17,C Meridian,17,Meridian,LevyB
65,25,BarkerR,15,8,2,32,15,113,80,1.4125,38,0,0.533333333333,98,83,1.18072289157,22,0.773195876289,16,0.533333333333,1.30652920962,0.773195876289,0,0,13,21,C Frontier,3,Frontier,PaquetP
65,25,BarlowG,10,12,3,23,4,83,71,1.16901408451,30,0,0.473333333333,79,66,1.19696969697,21,0.743902439024,9,0.473333333333,1.21723577236,0.743902439024,2,0,3,13,D Frontier Div 2,16,Frontier,KrizelJ
65,25,BarnesG,6,15,4,16,-30,64,51,1.25490196078,32,0,0.34,94,75,1.25333333333,35,0.672897196262,-3,0.34,1.01289719626,0.672897196262,0,0,5,24,R Skyline Div 2,25,Skyline,DubnerJ
65,25,BarnesMRaff,7,13,5,19,-29,76,65,1.16923076923,26,0,0.433333333333,105,83,1.26506024096,26,0.714285714286,0,0.433333333333,1.14761904762,0.714285714286,0,0,7,23,D Pacific Div 2,24,Pacific,GoodeM
65,25,BarnettC,10,10,5,25,-2,116,91,1.27472527473,28,0,0.606666666667,118,90,1.31111111111,25,0.702380952381,3,0.606666666667,1.30904761905,0.702380952381,0,0,11,18,D Horizon Div 2,19,Horizon,DimitriCRob
65,25,BarnumPT,14,8,3,31,19,185,127,1.45669291339,21,0,0.846666666667,166,116,1.43103448276,23,0.629032258065,-2,0.846666666667,1.47569892473,0.629032258065,1,0,18,7,A Horizon,8,Horizon,WongC
65,25,BarreeJ,20,5,0,40,51,107,75,1.42666666667,41,0,0.5,56,50,1.12,20,0.74358974359,21,0.5,1.24358974359,0.74358974359,3,0,10,18,R Metro Div 1,3,Metro,FlynnR
